"VARIABLE_NO"|"NAME"|"UNIT_CODE"|"UNITS"|"SHORTNAME"|"COMMNT"|"MINIMUM"|"MAXIMUM"|"ACCURACY"|"PRECISION"
2751|Selenium as Se - total|MGL|Milligrams/Litre|Selenium as Se - total (Milligrams/Litre||0|0|0|.00001
2751.01|Selenium as Se - total (lower LOR)|MGL|Milligrams/Litre|Selenium total (lower LOR)||0|0|2|.00001
2751.2|Selenium as Se - total|MGL|Milligrams/Litre|Selenium as Se - total (Milligrams/Litre||0|0|2|.00001
2771|Silver as Ag - total|MGL|Milligrams/Litre|Silver as Ag - total (Milligrams/Litre)||0|0|0|.00001
2771.2|Silver as Ag - total|MGL|Milligrams/Litre|Silver as Ag - total (Milligrams/Litre)||0|0|2|.00001
2781|Strontium as Sr - total|MGL|Milligrams/Litre|Strontium as Sr - total (Milligrams/Litr||0|0|0|.00001
2781.2|Strontium as Sr - total|MGL|Milligrams/Litre|Strontium as Sr - total (Milligrams/Litr||0|0|2|.00001
2782|Strontium as Sr - soluble|MGL|Milligrams/Litre|Strontium as Sr - soluble (Milligrams/Li||0|0|0|.00001
2791|Tin as Sn - total|MGL|Milligrams/Litre|Tin as Sn - total (Milligrams/Litre)||0|0|0|.00001
2801|Titanium as Ti - total|MGL|Milligrams/Litre|Titanium as Ti - total (Milligrams/Litre||0|0|0|.00001
2801.2|Titanium as Ti - total|MGL|Milligrams/Litre|Titanium as Ti - total (Milligrams/Litre||0|0|2|.00001
2811|Vanadium as V - total|MGL|Milligrams/Litre|Vanadium as V - total (Milligrams/Litre)||0|0|0|.00001
2811.2|Vanadium as V - total|MGL|Milligrams/Litre|Vanadium as V - total (Milligrams/Litre)||0|0|2|.00001
2821|Zinc as Zn - total|MGL|Milligrams/Litre|Zinc as Zn - total (Milligrams/Litre)||0|0|0|.00001
2821.01|Zinc as Zn -soluble (lower LOR)|MGL|Milligrams/Litre|||0|0|2|.00001
2821.02|Zinc as Zn - total (finer LOR)|MGL|Milligrams/Litre|Zinc|ICP-MS|0|0|3|.00001
2821.2|Zinc as Zn - total|MGL|Milligrams/Litre|Zinc as Zn - total (Milligrams/Litre)||0|0|0|.00001
2822|Zinc as Zn - soluble|MGL|Milligrams/Litre|Zinc as Zn soluble (mg/L)||0|0|2|.00001
2822.02|Zinc as Zn - soluble (finer LOR)|MGL|Milligrams/Litre|Zinc Dissolved|ICP-MS|0|0|3|.00001
2824|Zinc as Zn - total ug/L|UT|Micrograms/Litre|Zinc as Zn - total ug/L||0|0|-1|.00001
2825|Zinc as Zn - soluble|UT|Micrograms/Litre|Zinc as Zn - soluble (Micrograms/Litre)||0|0|-1|.00001
2891|Uranium - total|UT|Micrograms/Litre|Uranium - total (Micrograms/Litre)||0|0|0|.00001
2901|Carbon Dioxide as CO2|MGL|Milligrams/Litre|Carbon Dioxide as CO2 (Milligrams/Litre)||0|0|0|.00001
3001|Biochem Oxygen Demand (BOD)|MGL|Milligrams/Litre|Biochem Oxygen Demand (BOD) (Milligrams/||0|0|0|.00001
3011|Chemical Oxygen Demand (COD)|MGL|Milligrams/Litre|Chemical Oxygen Demand (COD) (Milligrams||0|0|0|.00001
3020|Total Carbon (TC)|MGL|Milligrams/Litre|Total Carbon (TC) (Milligrams/Litre)||0|0|0|.000001
3021|Total Organic Carbon (TOC)|MGL|Milligrams/Litre|Total Organic Carbon (TOC) (Milligrams/L||0|0|0|.00001
3026|Dissolved Organic Carbon|MGL|Milligrams/Litre|Dissolved Organic Carbon (Milligrams/Lit||0|0|0|.00001
3026.2|Dissolved Organic Carbon|MGL|Milligrams/Litre|Dissolved Organic Carbon (Milligrams/Lit||0|0|1|.00001
3106|Total DDT|UT|Micrograms/Litre|Total DDT (Micrograms/Litre)||0|0|1|.00001
3113|Nonachlor Trans|UT|Micrograms/Litre|Nonachlor Trans||0|0|1|.000001
3114|Oxychlordane|UT|Micrograms/Litre|Oxychlordane||0|0|1|.000001
3115|Chlordene|UT|Micrograms/Litre|Chlordene||0|0|1|.000001
3116|Chlordene Epoxide|UT|Micrograms/Litre|Chlordene Epoxide||0|0|1|.000001
3117|DDE (op)|UT|Micrograms/Litre|DDE (op)||0|0|1|.00001
3119|3\0444'-DDT (op)|UT|Micrograms/Litre|3\0444'-DDT (op)||0|0|1|.00001
3120|3\0444'-DDD (op)|UT|Micrograms/Litre|3\0444'-DDD (op)||0|0|1|.00001
3121|Aldrin                      309-00-2|UT|Micrograms/Litre|Aldrin                      309-00-2 (Mi||0|0|1|.00001
3122|Chlordane Total         57-74-9|UT|Micrograms/Litre|Chlordane Total||0|0|1|.00001
3123|Chlordane - alpha   5103-71-9|UT|Micrograms/Litre|Chlordane alpha||0|0|1|.00001
3124|Chlordane - gamma  5103-74-2|UT|Micrograms/Litre|Chlordane gamma||0|0|1|.00001
3126|4\0444'-DDD (pp)             72-54-8|UT|Micrograms/Litre|4\0444'-DDD               72-54-8 (Micro||0|0|1|.00001
3127|4\0444'-DDE (pp)             72-55-9|UT|Micrograms/Litre|4\0444'-DDE    (ug/L)||0|0|1|.00001
3128|4\0444'-DDT (pp)             50-29-3|UT|Micrograms/Litre|4\0444'-DDT               50-29-3 (Micro||0|0|2|.00001
3129|Dieldrin                    60-57-1|UT|Micrograms/Litre|Dieldrin                    60-57-1 (Mic||0|0|1|.00001
3130|Endosulfan(alpha isomer)959-98-8|UT|Micrograms/Litre|Endosulfan(alpha isomer) (ug/L)||0|0|2|.00001
3131|Endosulfan(beta isomer)33213-65-9|UT|Micrograms/Litre|Endosulfan(beta isomer)   (ug/L)||0|0|2|.00001
3132|Endosulfan sulfate 1031-07-8|UT|Micrograms/Litre|Endosulfan sulfate (ug/L)||0|0|2|.00001
3133|Endrin                            72-20-8|UT|Micrograms/Litre|Endrin                            72-20-||0|0|0|.00001
3134|Endrin aldehyde          7421-93-4|UT|Micrograms/Litre|Endrin aldehyde          7421-93-4 ()||0|0|0|.00001
3135|HCH(alpha isomer)       319-84-6|UT|Micrograms/Litre|HCH(alpha isomer)       319-84-6 ()||0|0|1|.00001
3136|HCH(beta isomer)        319-85-7|UT|Micrograms/Litre|HCH(beta isomer)        319-85-7 ()||0|0|1|.00001
3137|HCH(delta isomer)       319-86-8|UT|Micrograms/Litre|HCH(delta isomer)       319-86-8 ()||0|0|1|.00001
3138|HCH(gamma isomer)Lindane58-89-9|UT|Micrograms/Litre|HCH(gamma isomer)Lindane58-89-9 ()||0|0|1|.00001
3139|Heptachlor                  76-44-8|UT|Micrograms/Litre|Heptachlor                  76-44-8 ()||0|0|1|.00001
3140|Heptachlor epoxide   1024-57-3|UT|Micrograms/Litre|Heptachlor epoxide   1024-57-3 ()||0|0|1|.00001
3141|Hexachlorobenzene   118-74-1|UT|Micrograms/Litre|Hexachlorobenzene   118-74-1 ()||0|0|0|.00001
3142|Methoxychlor             72-43-5|UT|Micrograms/Litre|Methoxychlor             72-43-5 ()||0|0|0|.00001
3149|Endosulfan Lactone|UT|Micrograms/Litre|Endosulfan Lactone||0|0|1|.000001
