"VARIABLE_NO"|"NAME"|"UNIT_CODE"|"UNITS"|"SHORTNAME"|"COMMNT"|"MINIMUM"|"MAXIMUM"|"ACCURACY"|"PRECISION"
3729|Bifenthrin|UT|micrograms/litre|Bifenthrin (ug/L)||0|0|1|.00001
3730|Cyfluthrin|UT|Micrograms/Litre|Cyfluthrin||0|0|1|.000001
3731|Iambda-Cyhalothrin|UT|Micrograms/Litre|Iambda-Cyhalothrin||0|0|1|.000001
3732|Phenothrin|UT|Micrograms/Litre|Phenothrin||0|0|1|.000001
3733|Tetramethrin|UT|Micrograms/Litre|Tetramethrin||0|0|1|.000001
3734|Transfluthrin|UT|Micrograms/Litre|Transfluthrin||0|0|1|.000001
3735|Allethrin|UT|Micrograms/Litre|Allethrin||0|0|1|.000001
3736|Bioresmethrin|UT|Micrograms/Litre|Bioresmethrin||0|0|1|.000001
3923|Oxyfluorfen              42874-03-3|UT|Micrograms/Litre|Oxyfluorfen              42874-03-3 (Mic||0|0|1|.00001
3925|Permethrin               52645-53-1|UT|Micrograms/Litre|Permethrin               52645-53-1 (Mic||0|0|0|.00001
3926|Dicofol (Kelthane)     115-32-2|UT|Micrograms/Litre|Dicofol (Kelthane)     115-32-2 (Microgr||0|0|0|.00001
4018.01|Amertryn (lower LOR)|UT|micrograms/Litre|Amertryn (lower LOR)||0|0|2|.00001
4019|Tebuthiuron|UT|Micrograms/Litre|Tebuthiuron|\034Graslan\034|0|0|2|.00001
4019.01|Tebuthiuron (lower LOR)|UT|Micrograms/Litre|Tebuthiuron (lower LOR)||0|0|1|.00001
4020|Picloram|UT|Micrograms/Litre|Picloram||0|0|1|.00001
4021.01|Simazine|UT|Micrograms/Litre|Simazine||0|0|2|.00001
4022|Propazine  139-40-2|UT|Micrograms/Litre|Propazine  139-40-2 (Micrograms/Litre)||0|0|1|.00001
4024.01|Atrazine (lower LOR)|UT|Micrograms/Litre|Atrazine (lower LOR)||0|0|2|.00001
4025.01|Prometryne (lower LOR)|UT|Micrograms/Litre|Prometryne (lower LOR)||0|0|2|.00001
4026|Terbuthylazine|UT|micrograms/litre|Terbuthylazine||0|0|1|.1
4027.01|Terbutryn (lower LOR)|UT|Micrograms/Litre|Terbutryn (lower LOR) (ug/L)|Reporting limit 0.01|0|0|2|.000001
4034.01|Desisopropyl Atrazine (lower LOR)|UT|Micrograms/Litre|Desisopropyl Atrazine (lower LOR)||0|0|2|.00001
4035.01|Desethyl Atrazine (lower LOR)|UT|Micrograms/Litre|Desethyl Atrazine (lower LOR)||0|0|2|.00001
4221.01|Fluometuron (lower LOR)|UT|Micrograms/Litre|Fluometuron (lower LOR)||0|0|2|.00001
4222.01|Diuron (lower LOR)|UT|Micrograms/Litre|Diuron (lower LOR)||0|0|2|.00001
4420|MCPB|UT|Micrograms/Litre|MCPB||0|0|1|.000001
4421|Mecoprop           93-65-2|UT|Micrograms/Litre|Mecoprop           93-65-2 (Micrograms/L||0|0|0|.00001
4422|4-chloro-o-Tolyloxyacetic acid (MCPA)|UT|Micrograms/Litre|4-chloro-o-Tolyloxyacetic acid (MCPA) (M||0|0|1|.00001
4423|2\0444-D               94-75-7|UT|Micrograms/Litre|2\0444-D            94-75-7 (Micrograms/||0|0|1|.00001
4424|Dicamba             1918-00-9|UT|Micrograms/Litre|Dicamba             1918-00-9 (Microgram||0|0|1|.00001
4425|2\0444\0445-T             93-76-5|UT|Micrograms/Litre|2\0444\0445-T       93-76-5 (Micrograms/||0|0|1|.00001
4426|2\0444\0445-TP (Silvex)      93-72-1|UT|Micrograms/Litre|2\0444\0445-TP (Silvex)93-72-1 (Microgra||0|0|1|.00001
4427|2\0444-DB|UT|Micrograms/Litre|2\0444-DB||0|0|1|.00001
4428|2\0444-DP|UT|Micrograms/Litre|2\0444-DP||0|0|1|.000001
