"RN"|"FACILITY_TYPE"|"OFFICE"|"SHIRE_CODE"|"PARISH"|"RN_REPLACES"|"DO_FILE"|"RO_FILE"|"HO_FILE"|"FACILITY_STATUS"|"DRILLED_DATE"|"DRILLER_NAME"|"DRILLING_COMP"|"BASIN"|"METHOD_CONST"|"SUB_AREA"|"LOT"|"PLAN"|"DESCRIPTION"|"COUNTY"|"LAT"|"LNG"|"EASTING"|"NORTHING"|"ZONE"|"ACCURACY"|"GPS_ACCURACY"|"GIS_LAT"|"GIS_LNG"|"CHECKED"|"MAP_SCALE"|"MAP_SERIES"|"MAP_NO"|"PROG_SECT"|"EQUIPMENT"|"ORIG_NAME_NO"|"POLYGON"|"DATA_OWNER"|"BORE_LINE_CODE"|"DRILLER_LICENCE_NUMBER"|"LOG_RECEIVED_DATE"
37132|SF|BBG|6630|3041||5914||L29887B|EX|01/01/1971|||1363|||||S2 P13|BOONDOOMA|26-36-29|151-23-35|340002|7055961|56|||-26.608139485|151.393028778|N|40C|N|5079||WL| |||||
37134|SF|BBG|6630|3041||5914||L29887B|EX|01/01/1971|||1363|||||S1 P8|BOONDOOMA|26-37-40|151-23-32|339947|7053775|56|||-26.627861693|151.392195675|N|40C|N|5082||WL| |||||
37135|SF|BBG|6630|3041||5914||L29887B|EX|01/01/1971|||1363|||||S1 P8|BOONDOOMA|26-37-34|151-23-28|339834|7053958|56|||-26.62619504|151.391084577|N|40C|N|5082||WL| |||||
37136|SF|BBG|6630|3041||5914||L29887B|EX|01/01/1969|||1363|||||S1 P8|BOONDOOMA|26-37-47|151-23-28|339839|7053558|56|||-26.629806147|151.391084611|N|40C|N|5082||WL| |||||
37139|SF|BBG|6630|3041||5914||L29887B|EX|01/01/1940|||1363|CABLE TOOL||||P9|BOONDOOMA|26-37-26|151-23-34|339997|7054206|56|||-26.623972813|151.39275123|N|40C|N|5082||WL| |||||
37140|SF|BBG|6630|3041||5914||L29887B|AD|01/01/1940|||1363|CABLE TOOL||||P9|BOONDOOMA|26-37-04|151-24-19|341233|7054899|56|||-26.617861631|151.40525097|N|40C|N|5079||WL| |||||
37141|SF|BBG|6630|832||5914||L29887B|EX|03/03/1969|||1363|ROTARY RIG||||P29|BOONDOOMA|26-38-46|151-29-02|349097|7051856|56|||-26.646194532|151.483861038|N|40C|N|5082||WL| |||||
40000|SF|BBG|1820|2540||5917||L36997B|AD|07/07/1966|||1370||WOO|3|RP71368|R3 S3 P1125|COOK|24-57-03|152-23-45|439007|7240347|56|||-24.95095774|152.395814148|Y|20C||4174||TE|REPLACED BY 53706|W67||||
40001|SF|BBG|1820|2540||5917|||EX|02/06/1970|||1370||WOO|3|RP71368|L3 RP71368|COOK|24-56-58|152-23-46|439025|7240500|56|||-24.949575744|152.39600024|Y|20C||4174D||TE| |W67||||
40002|SF|BBG|1820|2540||2414||L37429B|AD|01/01/1938|||1360||WOO|10|RP836865|L5 RP157739|COOK|24-54-07|152-22-03|436119|7245746|56|||-24.902085249|152.367459651|Y|20C||4174A||CL||W60||||
40003|SF|BBG|1820|2540||1948||L37279B|AD|01/01/1963|||1360||WOO|2|RP141027|R2 SA P88|COOK|24-53-54|152-22-13|436400|7246168|56|||-24.898283343|152.370258389|Y|20C||4174||TE||W60||||
40004|SF|BBG|1820|2540||1948||L37279B|AD|01/01/1967|||1360||WOO|2|RP141027|R2 SA P88|COOK|24-54-00|152-22-15|436456|7245964|56|||-24.900134735|152.370800294|Y|20C||4174||TE||W60||||
40005|SF|BBG|1820|2540||1948||L37279B|AD|01/01/1967|||1360||WOO|5|RP157745|S2 P104|COOK|24-53-57|152-22-23|436680|7246068|56|||-24.899201524|152.373027958|Y|20C||4174||TE||W60||||
40006|SF|BBG|1820|2540||1948||L37279B|AD|28/03/1962|||1360||WOO|7|RP157740|R1 SB P88|COOK|24-54-06|152-22-14|436431|7245771|56|||-24.901873831|152.370549808|Y|20C||4174||TE||W60||||
40007|SF|BBG|1820|2540||1948||L37279B|AD|01/02/1970|||1360||WOO|2|RP77630|S2 P18|COOK|24-54-16|152-22-20|436583|7245482|56|||-24.904488115|152.372038204|Y|20C||4174||TE||W60||||
40008|SF|BBG|1820|2540||1894|||AD|01/01/1965|||1360||WOO|3|RP210613|L3 RP210613|COOK|24-53-59|152-22-23|436687|7246001|56|||-24.899803622|152.373088161|Y|||||||W60||||
40009|SF|BBG|1820|2540||7248||L37284B|EX|28/05/1970|||1360||WOO|2|RP210613|L2 RP210613|COOK|24-54-05|152-22-40|437164|7245827|56|||-24.901129692|152.377520109|Y|20C||4174B||JP| |W60||||
40010|SF|BBG|1820|2540||1895||L37284B|AD|16/07/1970|||1360||WOO|2|RP221344|L2 RP201613|COOK|24-54-00|152-22-36|437041|7245982|56|||-24.8999907|152.376592614|Y|20C||4174||JP| |W60||||
40011|SF|BBG|1820|2540||1083||L26907B|EX|01/10/1964|||1360||WOO|9|RP163516|P59|COOK|24-53-31|152-22-35|436998|7246870|56|||-24.891971119|152.376213969|Y|20C||4174||TE||W51||||
40012|SF|BBG|1820|2540||1083||L26907B|AD|01/01/1963|||1360||WOO|18|RP899424|S3 P104|COOK|24-53-49|152-22-38|437098|7246320|56|||-24.896939804|152.377180387|Y|20C||4174||TE||W51||||
40013|SF|BBG|1820|2540||2505||L37205B|AU|01/01/1965|||1370||WOO|48|C37121|P48|COOK|24-54-10|152-22-51|437473|7245676|56|||-24.902773167|152.380855873|Y|20C||4174B||CL||W60||||
40014|SF|BBG|1820|2540||2296||L37197B|AU|25/03/1965|||1370||WOO|4|RP41422|P42|COOK|24-54-08|152-22-56|437594|7245722|56|||-24.902366361|152.382059955|Y|20C||4174B||TE||W50||||
40015|SF|BBG|1820|2540||2563||L37303B|AD|01/01/1960|||1360||WOO|1|RP13516|P54|COOK|24-53-44|152-22-56|437603|7246478|56|||-24.895534676|152.38218521|Y|20C||4174||CL| |||||
40016|SF|BBG|1820|2540||2563||L37303B|AU|01/01/1965|||1360||WOO|1|RP13516|P114|COOK|24-53-38|152-22-55|437582|7246665|56|||-24.893848481|152.381984402|Y|20C||4174B||TE||W50||||
40017|SF|BBG|1820|2540||2563||L37303B|AD|01/01/1966|||1360||WOO|15|RP809430|P114|COOK|24-53-26|152-22-50|437438|7247032|56|||-24.890529795|152.3805793|Y|20C||4174||TE||W50||||
40018|SF|BBG|1820|2540||2563||L37303B|AD|17/07/1970|||1360||WOO|15|RP809430|P114|COOK|24-53-27|152-23-00|437725|7246976|56|||-24.891041177|152.383410364|Y|20C||4174||CL| |||||
40019|SF|BBG|1820|2540||2563|||AD|01/01/1967|||1360||WOO|1|RP13516|P54|COOK|24-53-42|152-22-58|437656|7246533|56|||-24.895039474|152.3827071|Y|20C||4174||JP|REPLACED BY 95062|W50||||
40020|SF|BBG|1820|2540||2296||L37197B|AD|01/01/1958|||1360||WOO|1|RP41422|P42|COOK|24-53-50|152-22-47|437358|7246288|56|||-24.897240788|152.379749354|Y|20C||4174||TE||W50||||
40021|SF|BBG|1820|2540||2505|||EX|01/01/1958|||1360||WOO|48|C37121|L48 C37121|COOK|24-53-53|152-22-40|437143|7246186|56|||-24.898156799|152.377615989|Y|20C||4174B||TE| |W60||||
40022|SF|BBG|1820|2540||2383||L37199B|AD|20/07/1970|||1360||WOO|6|RP188453|R1 S1 P41|COOK|24-53-46|152-22-56|437604|7246397|56|||-24.896264475|152.382190115|Y|20C||4174||TE||W50||||
40023|SF|BBG|1820|2540||2383||L37199B|EX|06/01/1970|||1360||WOO|6|RP188453|L6 RP188453|COOK|24-53-51|152-23-04|437815|7246243|56|||-24.89766376|152.384272796|Y|20C||4174B||JP| |W50||||
40024|SF|BBG|1820|2540||2383||L37199B|AD|20/07/1970|||1370||WOO|5|RP41077|S5 P41|COOK|24-54-05|152-23-04|437829|7245829|56|||-24.90140635|152.384386717|Y|20C||4174||CL||W50||||
